Energy[keV],Fluence_rate [cm^-2s^-1]
236.2,0.35264
236.4,0.53248
236.6,0.13638
236.8,0.53273
237,0.16829
237.2,0.048335
237.4,0.13355
237.6,0.20003
237.8,0.80622
238,0.36112
238.2,0.65598
238.4,0.71239
238.6,0.20048
238.8,0
239,0
239.2,0
239.4,0.25228
239.6,0.26479
239.8,0.265
240,0.2653
240.2,0.11228
240.4,0.19219
240.6,0
240.8,0
241,0.23828
241.2,0.14762
241.4,0
241.6,0.52319
241.8,0.40256
242,0.05513
242.2,0.076754
242.4,0.10954
242.6,0.19372
242.8,0.096484
243,0.44488
243.2,0.49337
243.4,0.14505
243.6,0.18961
243.8,0.000032243
244,0.13592
244.2,0.26884
244.4,0.26883
244.6,0.59329
244.8,0.38301
245,0.54583
245.2,0.72804
245.4,0.36429
245.6,0.54666
245.8,0.54698
246,0.14186
246.2,0.25322
246.4,0.2519
246.6,0.7329
246.8,0.38174
247,0.30936
247.2,0.43724
247.4,0.085117
247.6,0.051748
247.8,0.14026
248,0.00026809
248.2,0.39642
248.4,0
248.6,0.016451
248.8,0.3697
249,0.20889
249.2,0.40292
249.4,0.22755
249.6,0.36163
249.8,0.13086
250,0.41702
250.2,0.69712
250.4,0.75228
250.6,0.55427
250.8,0.11833
251,0.17391
251.2,0
251.4,0.24615
251.6,0.27534
251.8,0.6684
252,0.50041
252.2,0.41704
252.4,0.54669
252.6,0.27651
252.8,0.27668
253,0.27688
253.2,0.27706
253.4,0.45835
253.6,0.25259
253.8,0
254,0.19634
254.2,0.41746
254.4,0.55176
254.6,0.47079
254.8,0.085566
255,0.11273
255.2,0.47891
255.4,0.34163
255.6,0.36745
255.8,0.35476
256,0.43267
256.2,0.27929
256.4,0.35383
256.6,0.413
256.8,0.26146
257,0
257.2,0.33693
257.4,0.071244
257.6,0.11049
257.8,0.28073
258,0.22247
258.2,0.13037
258.4,0.27884
258.6,0.074624
258.8,0.12644
259,0.45885
259.2,0.46875
259.4,0.10665
259.6,0.29012
259.8,0.33016
260,0
260.2,0.058655
260.4,0.28233
260.6,0.27656
260.8,0
261,0
261.2,0.46939
261.4,0.36419
261.6,0
261.8,0.042871
262,0.4073
262.2,0.57154
262.4,0.016535
262.6,0
262.8,0
263,0
263.2,0
263.4,0
263.6,0.21154
263.8,0.38881
264,0.65751
264.2,0
264.4,0
264.6,0
264.8,0
265,0.010642
265.2,0.28587
265.4,0.11678
265.6,0.42109
265.8,0.22082
266,0.19705
266.2,0.16148
266.4,0.73474
266.6,0.3667
266.8,0.000012908
267,0
267.2,0.42245
267.4,0
267.6,0
267.8,0.035039
268,0.40452
268.2,0.19034
268.4,0
268.6,0.13411
268.8,0.28675
269,0
269.2,0
269.4,0.44702
269.6,0.18847
269.8,0.1753
270,0.28901
270.2,0.53202
270.4,0.27664
270.6,0.83065
270.8,0.592
271,0.069688
271.2,0
271.4,0.32225
271.6,0.10138
271.8,0
272,0
272.2,0.21241
272.4,0.12261
272.6,0.086625
272.8,0.20042
273,0.44019
273.2,0.21265
273.4,0
273.6,0.16456
273.8,0.045407
274,0.21581
274.2,0.21018
274.4,0.2132
274.6,0
274.8,0
275,0.35832
275.2,0.28588
275.4,0
275.6,0
275.8,0.16922
276,0.041474
276.2,0.22536
276.4,0.5905
276.6,0.10022
276.8,0.15845
277,0.42644
277.2,0.51463
277.4,0.29449
277.6,0.51281
277.8,0.19717
278,0
278.2,0
278.4,0
278.6,0.19582
278.8,0.2955
279,0.43545
279.2,0.15594
279.4,0.29606
279.6,0.2963
279.8,0.71204
280,0
280.2,0
280.4,0
280.6,0
280.8,0.20096
281,0.01321
281.2,0.28677
281.4,0.15237
281.6,0.21185
281.8,0
282,0.023835
282.2,0.29795
282.4,0.11084
282.6,0.045189
282.8,0.17001
283,0.20624
283.2,0.36725
283.4,0.30128
283.6,0.22794
283.8,0.29913
284,0.29886
284.2,0.29929
284.4,0.2991
284.6,0.10724
284.8,0
285,0.39597
285.2,0.26274
285.4,0.21918
285.6,0.61464
285.8,0.48924
286,0.18688
286.2,0.25219
286.4,0.32445
286.6,0.79153
286.8,0.40767
287,0.24537
287.2,0
287.4,0
287.6,0.29841
287.8,0.46096
288,0.36568
288.2,0.20302
288.4,0.17905
288.6,0.04038
288.8,0
289,0.20056
289.2,0.019243
289.4,0
289.6,0.22244
289.8,0.221
290,0.16222
290.2,0.34752
290.4,0.60322
290.6,0.18425
290.8,0.2608
291,0.12408
291.2,0.71925
291.4,0.1141
291.6,0.30476
291.8,0.30037
292,0.085582
292.2,0.13653
292.4,0.051539
292.6,0.39554
292.8,0
293,0
293.2,0
293.4,0
293.6,0.13818
293.8,0.61388
294,0.37986
294.2,0.48937
294.4,0.40127
294.6,0
294.8,0.33849
295,0.92366
295.2,0.14203
295.4,0.3077
295.6,0.090365
295.8,0.59966
296,0.46009
296.2,0.53453
296.4,0.21257
296.6,0
296.8,0.069671
297,0.5001
297.2,0.30888
297.4,0.025704
297.6,0.13943
297.8,0.086863
298,0.22667
298.2,0
298.4,0.26195
298.6,0.51914
298.8,0.12652
299,0
299.2,0
299.4,0
299.6,0.28871
299.8,0.16622
300,0.45531
